created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,in_reply_to_screen_name,location
Wed Feb 07 11:39:49 +0000 2024,1755194652268147029,@CNNIndonesia @chaidar_2000 Mahasiswa udh bergerak kampus2 udh bersuara... nih kesempatan bagus untuk anggota dewan DPR MPR dan DPD untuk bertindak!!! ayo selamatkan demokrasi cita2 reformasi dari cengkraman politik Dinasti!!,0,0,0,4,in,1112936622322929665,1755187828000968808,2dibukaB,https://twitter.com/2dibukaB/status/1755194652268147029,,CNNIndonesia,"Ohain, France"
Wed Feb 07 11:56:01 +0000 2024,1755198729337143524,@CNNIndonesia Orang-orang yang terlibat langsung dengan rezim ini serta yang mendukung dinasti Jokowi harus di hukum mati !!,0,0,0,3,in,716565640660721664,1755187828000968808,Abrialarip,https://twitter.com/Abrialarip/status/1755198729337143524,,CNNIndonesia,"Majalengka, Indonesia"
Wed Feb 07 12:28:12 +0000 2024,1755206827774796176,@CNNIndonesia Klo Trisakti sudsh turun reformasi jilid 2 tidak terelakkan,0,0,0,1,in,1649936348776894466,1755187828000968808,ParadigmaO78909,https://twitter.com/ParadigmaO78909/status/1755206827774796176,,CNNIndonesia,
