created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,in_reply_to_screen_name,location
Wed Feb 07 03:35:30 +0000 2024,1755072768306298997,@tvOneNews Dia mewakilkan nelayan kan sdh dia kasih tau di panggung dia ketua perkumpulan nelayan parepare . Jgn di goreng min dosa jariyah berat dsna ada 200 nelayan yg datang langsung pake perahu mau tanggung fitnah itu sebanyak 200 x semua keluarganya?? ,4,24,51,454,in,767016013,1755065156722471372,ZhieBhawell,https://twitter.com/ZhieBhawell/status/1755072768306298997,,tvOneNews,"kotabaru,kalsel"
Wed Feb 07 04:20:07 +0000 2024,1755083997187919882,@tvOneNews TV sampah .... Klo media kayak gini ga bs menilai yg salah atau benar .... Kacau. O2 sdh melanggar etika mau kalian dukung????????? Nurani kalian kemana ? .... Sama saja yg jahat kalian dukung ?,1,16,7,127,in,1201307615340318720,1755065156722471372,MadiBros,https://twitter.com/MadiBros/status/1755083997187919882,,tvOneNews,
Wed Feb 07 04:39:34 +0000 2024,1755088890594263450,@tvOneNews Anies ini pintar berdrama mau menipu dan membohongi rakyat.,0,82,5,106,in,147198181,1755065156722471372,gea_asa,https://twitter.com/gea_asa/status/1755088890594263450,,tvOneNews,Indonesia
