created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,in_reply_to_screen_name,location
Wed Feb 07 07:17:10 +0000 2024,1755128553618973140,"Hahahaha... Anda @jokowi terlanjur dicap PERUSAK DEMOKRASI oleh para Guru Besar se-Indonesia.  ASN, TNI / Polri dan BIN Harus Netral https://t.co/nImDRadwZa",0,0,0,0,in,1098445819,1755128553618973140,AkunPurba_,https://twitter.com/AkunPurba_/status/1755128553618973140,,,
Wed Feb 07 06:48:31 +0000 2024,1755121343815987510,"Heboh!!! Jokowi : ASN, TNI, Polri dan BIN harus netral.  Netijen: Kabar buruknya yang ngomong Jokowi.  https://t.co/CawROgL1Go",0,3,13,34,in,1649686141757722626,1755121343815987510,AlnilamOmar,https://twitter.com/AlnilamOmar/status/1755121343815987510,,,
Wed Feb 07 06:19:30 +0000 2024,1755114041184493694,@CNNIndonesia Iya.. Iya.. https://t.co/iD1ams76qF,0,2,0,29,in,52699586,1755111976840077468,wiragaksableng,https://twitter.com/wiragaksableng/status/1755114041184493694,https://pbs.twimg.com/media/GFtq6tnaoAAo1T1.jpg,CNNIndonesia,Indonesia
