created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,in_reply_to_screen_name,location
Thu Feb 08 05:37:03 +0000 2024,1755465746652778503,Woooh pasti rame artisnya nih 🤩🤩🥳  Hari Ini Prabowo-Gibran Siap Gebrak Kampanye Akbar PAN di GBLA Bandung   @Official_PAN @ZUL_Hasan @prabowo @gibran_tweet  https://t.co/x7nDIhoyYU,1,2,3,7,in,3357091693,1755465746652778503,dyahNeZza,https://twitter.com/dyahNeZza/status/1755465746652778503,,,
Wed Feb 07 20:55:00 +0000 2024,1755334365993681260,Saya Melihat nya Senang jika Habieb Luthfi bersama n mendukung Bapak @prabowo @gibran_tweet karna mata hati Habieb tahu yang pantas u 🇮🇩 #PrabowoGibran2024 . Habib Luthfi bin Yahya merupakan keturunan Nabi Muhammad SAW . #prabowogibranmenangsatuputaran #temanprabowosubiabto https://t.co/l2QUzVEx9w,11,63,53,210,in,1695192728173187072,1755334365993681260,drReUtari08,https://twitter.com/drReUtari08/status/1755334365993681260,https://pbs.twimg.com/ext_tw_video_thumb/1755334300491292672/pu/img/YYIEjLjmqS1lF_rW.jpg,,
