created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,in_reply_to_screen_name,location
Thu Feb 08 08:07:28 +0000 2024,1755503601580212245,Klau menguntungkan Rakyat Saya rasa PDIP MAU. Tapi kalau Menguntungkan SEGELINTIR ORANG CUKONG. TENTU TIDAK. Bah Cemana pulang opung ku ini. Tiuppss  @JhonniSinaga20   Luhut: PDIP Aneh Tak Mau Lanjutkan Program Jokowi https://t.co/6mvuc09mJS,0,0,0,0,in,1603598214426669057,1755503601580212245,mulya3051,https://twitter.com/mulya3051/status/1755503601580212245,,,
Thu Feb 08 05:18:04 +0000 2024,1755460970628202786,@CNNIndonesia tolol. program Jokowi itu ya dari PDIP. masa ga dilanjutkan. akan dilanjutkan dengan menyingkirkan Luhut Bahlil dan Hashim,0,8,2,63,in,1296382061758955520,1755434741572985188,BangWin04,https://twitter.com/BangWin04/status/1755460970628202786,,CNNIndonesia,"Bandung, Indonesia"
Thu Feb 08 04:49:26 +0000 2024,1755453762423140387,@CNNIndonesia Jokowi dan luhut lebih aneh lagi. 2x pilpres ngotot nyuruh rakyat jangan milih prabowo lah ko skrg dukung prabowo pdhl ada capres Ganjar dr pdip dr partai pengusung jokowi 2 periode..knp ditinggal gt saja,0,2,1,17,in,1186526443569741824,1755434741572985188,ariyfebri1,https://twitter.com/ariyfebri1/status/1755453762423140387,,CNNIndonesia,indonesia
